Subject,itemID,adjective,adjEighth,adjFifth,adjFirst,adjFourth,adjSecond,adjSeventh,adjSixth,adjThird,DegreeOrder,Condition,Restrictor,Expression,Predicate,Position,Answer
166,1,tall,0,100,100,99,32,80,100,92,EBDFHGCA,Tr,ABGH,Num2,drink coffee,1,100
166,1,tall,0,100,100,99,32,80,100,92,EBDFHGCA,Fa,AH,Conj2,have roommates,3,0
166,1,tall,0,100,100,99,32,80,100,92,EBDFHGCA,T1,ADFGH,Num3,play video games,2,100
166,1,tall,0,100,100,99,32,80,100,92,EBDFHGCA,T2,ABDE,Some,use public transport,4,35
35,201,profitable,100,0,15,100,100,100,0,79,BGDEACHF,Tr,GH,Conj2,have employee uniforms,4,100
35,201,profitable,100,0,15,100,100,100,0,79,BGDEACHF,Fa,ABD,Num2,have 24/7 customer support,3,15
35,201,profitable,100,0,15,100,100,100,0,79,BGDEACHF,T1,DEGH,Some,are construction companies,2,6
35,201,profitable,100,0,15,100,100,100,0,79,BGDEACHF,T2,DEH,All,are family businesses,1,87
123,2,powerful,68,66,72,71,74,84,82,72,DAHBGEFC,Tr,FGH,All,have heated seats,1,80
123,2,powerful,68,66,72,71,74,84,82,72,DAHBGEFC,Fa,ABH,Conj3,are black,2,76
123,2,powerful,68,66,72,71,74,84,82,72,DAHBGEFC,T1,DEGH,Some,have a touchscreen,4,80
123,2,powerful,68,66,72,71,74,84,82,72,DAHBGEFC,T2,ABDE,None,have leather interiors,3,84
53,202,safe,100,83,60,15,26,93,39,68,DBEAFCGH,Tr,ABGH,Num2,have a public library,4,100
53,202,safe,100,83,60,15,26,93,39,68,DBEAFCGH,Fa,ABH,None,have a hardware store,2,2
53,202,safe,100,83,60,15,26,93,39,68,DBEAFCGH,T1,AEFGH,Num3,are situated North of the city center,1,100
53,202,safe,100,83,60,15,26,93,39,68,DBEAFCGH,T2,DEH,All,border a river,3,10
9,3,young,55,38,13,36,13,30,41,35,GHECDBFA,Tr,GH,Conj2,use black pens,1,71
9,3,young,55,38,13,36,13,30,41,35,GHECDBFA,Fa,ABEH,All,are left-handed,4,44
9,3,young,55,38,13,36,13,30,41,35,GHECDBFA,T1,EGH,Conj3,keep journals,3,35
9,3,young,55,38,13,36,13,30,41,35,GHECDBFA,T2,ABEH,Num2,have houseplants,2,39
272,203,complete,17,0,100,26,72,71,100,45,HFDCAGEB,Tr,FGH,Conj3,are about credit card fraud,4,79
272,203,complete,17,0,100,26,72,71,100,45,HFDCAGEB,Fa,AH,Conj2,require an official statement from the bank,2,74
272,203,complete,17,0,100,26,72,71,100,45,HFDCAGEB,T1,DEGH,All,involve a repeat offender,1,54
272,203,complete,17,0,100,26,72,71,100,45,HFDCAGEB,T2,ABDE,None,affect retired clients,3,80
1,4,hot,65,100,30,31,76,100,80,100,ADHBGEFC,Tr,FGH,All,were workdays,4,98
1,4,hot,65,100,30,31,76,100,80,100,ADHBGEFC,Fa,ABD,Num2,had high humidity,1,39
1,4,hot,65,100,30,31,76,100,80,100,ADHBGEFC,T1,DEGH,Some,were windy,2,99
1,4,hot,65,100,30,31,76,100,80,100,ADHBGEFC,T2,DEH,Conj3,had heavy traffic,3,94
16,5,expensive,87,78,80,83,81,72,79,83,FBDGECAH,Tr,FGH,Conj3,have reflector headlights,2,89
16,5,expensive,87,78,80,83,81,72,79,83,FBDGECAH,Fa,ABH,None,have tinted windows,1,28
16,5,expensive,87,78,80,83,81,72,79,83,FBDGECAH,T1,AEFGH,Num3,have the gas tank door on the left side,3,97
16,5,expensive,87,78,80,83,81,72,79,83,FBDGECAH,T2,DEH,All,are grey,4,86
137,204,full,100,76,100,90,94,58,61,14,GFAEDBCH,Tr,AEGH,Some,included a layover,4,50
137,204,full,100,76,100,90,94,58,61,14,GFAEDBCH,Fa,ABEH,All,left in the morning,3,0
137,204,full,100,76,100,90,94,58,61,14,GFAEDBCH,T1,AEFGH,Num3,used a Boeing model plane,1,100
137,204,full,100,76,100,90,94,58,61,14,GFAEDBCH,T2,ABDE,None,were international,2,87
31,6,large,72,64,73,76,66,67,63,72,DHFCGAEB,Tr,ABC,None,are located on the top floor,1,73
31,6,large,72,64,73,76,66,67,63,72,DHFCGAEB,Fa,ABD,Num2,come pre-furnished,2,24
31,6,large,72,64,73,76,66,67,63,72,DHFCGAEB,T1,DEGH,All,have double-glazed windows,3,62
31,6,large,72,64,73,76,66,67,63,72,DHFCGAEB,T2,ABDE,Some,have air conditioning,4,32
79,205,tall,9,88,50,100,65,74,14,18,FDBHGCEA,Tr,FGH,All,have roommates,2,100
79,205,tall,9,88,50,100,65,74,14,18,FDBHGCEA,Fa,ABDE,Num3,play video games,1,0
79,205,tall,9,88,50,100,65,74,14,18,FDBHGCEA,T1,EH,Conj2,use public transport,4,100
79,205,tall,9,88,50,100,65,74,14,18,FDBHGCEA,T2,ABDH,Num2,drink coffee,3,11
38,7,late,100,100,1,0,0,0,100,0,DBECFHAG,Tr,FGH,All,drink tea,4,100
38,7,late,100,100,1,0,0,0,100,0,DBECFHAG,Fa,ABDE,Num3,work in HR,1,0
38,7,late,100,100,1,0,0,0,100,0,DBECFHAG,T1,DH,Conj2,use post-it notes,2,0
38,7,late,100,100,1,0,0,0,100,0,DBECFHAG,T2,ABDE,Some,bring packed lunches,3,0
199,206,powerful,100,26,8,51,100,100,100,78,AEDCBFHG,Tr,FGH,Conj3,have heated seats,1,100
199,206,powerful,100,26,8,51,100,100,100,78,AEDCBFHG,Fa,AB,Some,have a touchscreen,2,0
199,206,powerful,100,26,8,51,100,100,100,78,AEDCBFHG,T1,DEGH,All,have leather interiors,4,82
199,206,powerful,100,26,8,51,100,100,100,78,AEDCBFHG,T2,ABDH,Num2,are black,3,89
49,8,spicy,0,84,100,82,0,62,70,4,HCAGFEDB,Tr,ABGH,Num2,contain lemongrass,2,100
49,8,spicy,0,84,100,82,0,62,70,4,HCAGFEDB,Fa,ABH,None,come with complimentary prawn crackers,1,0
49,8,spicy,0,84,100,82,0,62,70,4,HCAGFEDB,T1,DH,Conj2,contain holy basil,4,70
49,8,spicy,0,84,100,82,0,62,70,4,HCAGFEDB,T2,DEH,All,are served with noodles,3,88
270,207,young,100,100,50,100,50,50,50,100,ACHFGBDE,Tr,FGH,All,are left-handed,2,100
270,207,young,100,100,50,100,50,50,50,100,ACHFGBDE,Fa,ABDE,Num3,keep journals,3,0
270,207,young,100,100,50,100,50,50,50,100,ACHFGBDE,T1,DEGH,Some,use black pens,1,100
270,207,young,100,100,50,100,50,50,50,100,ACHFGBDE,T2,ABDE,None,have houseplants,4,12
34,9,profitable,54,77,72,38,37,67,26,64,GAFEHBDC,Tr,AFGH,Num3,are family businesses,4,72
34,9,profitable,54,77,72,38,37,67,26,64,GAFEHBDC,Fa,ABH,None,have employee uniforms,1,61
34,9,profitable,54,77,72,38,37,67,26,64,GAFEHBDC,T1,DEGH,All,have 24/7 customer support,3,62
34,9,profitable,54,77,72,38,37,67,26,64,GAFEHBDC,T2,DEH,Conj3,are construction companies,2,65
63,208,hot,27,37,70,69,39,71,65,66,CEAGHDFB,Tr,FGH,Conj3,had high humidity,3,72
63,208,hot,27,37,70,69,39,71,65,66,CEAGHDFB,Fa,ABDE,Num3,were workdays,1,74
63,208,hot,27,37,70,69,39,71,65,66,CEAGHDFB,T1,DEGH,All,had heavy traffic,2,76
63,208,hot,27,37,70,69,39,71,65,66,CEAGHDFB,T2,ABDE,Some,were windy,4,71
99,10,safe,38,100,52,9,0,77,55,21,EACBHFGD,Tr,AFGH,Num3,border a river,1,76
99,10,safe,38,100,52,9,0,77,55,21,EACBHFGD,Fa,ABH,None,have a public library,2,66
99,10,safe,38,100,52,9,0,77,55,21,EACBHFGD,T1,DEGH,Some,are situated North of the city center,3,50
99,10,safe,38,100,52,9,0,77,55,21,EACBHFGD,T2,DEH,All,have a hardware store,4,39
251,209,expensive,78,30,32,85,98,69,28,67,HAECFGDB,Tr,FGH,All,are grey,2,74
251,209,expensive,78,30,32,85,98,69,28,67,HAECFGDB,Fa,ABH,None,have reflector headlights,4,22
251,209,expensive,78,30,32,85,98,69,28,67,HAECFGDB,T1,EGH,Conj3,have the gas tank door on the left side,1,86
251,209,expensive,78,30,32,85,98,69,28,67,HAECFGDB,T2,ABDH,Num2,have tinted windows,3,79
67,11,complete,100,0,1,0,0,0,100,0,CAEDBGFH,Tr,AFGH,Num3,are about credit card fraud,4,0
67,11,complete,100,0,1,0,0,0,100,0,CAEDBGFH,Fa,ABH,None,involve a repeat offender,1,0
67,11,complete,100,0,1,0,0,0,100,0,CAEDBGFH,T1,DH,Conj2,affect retired clients,3,0
67,11,complete,100,0,1,0,0,0,100,0,CAEDBGFH,T2,DEH,Conj3,require an official statement from the bank,2,0
104,210,large,100,48,21,70,67,50,82,39,ACEFGDBH,Tr,ABC,None,have air conditioning,4,100
104,210,large,100,48,21,70,67,50,82,39,ACEFGDBH,Fa,ABE,Num2,are located on the top floor,2,0
104,210,large,100,48,21,70,67,50,82,39,ACEFGDBH,T1,DEGH,All,come pre-furnished,1,100
